ID,Classe
0,2
1,4
2,7
3,7
4,7
5,4
6,7
7,1
8,3
9,7
10,3
11,1
12,0
13,0
14,0
15,0
16,7
17,0
18,7
19,0
20,3
21,1
22,4
23,1
24,1
25,4
26,2
27,0
28,2
29,5
30,0
31,3
32,4
33,2
34,2
35,4
36,3
37,1
38,4
39,0
40,1
41,3
42,3
43,3
44,7
45,1
46,7
47,0
48,7
49,1
50,2
51,7
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,5
63,7
64,3
65,3
66,3
67,1
68,0
69,3
70,7
71,0
72,1
73,0
74,5
75,7
76,0
77,3
78,0
79,3
80,3
81,1
82,0
83,0
84,7
85,0
86,7
87,0
88,4
89,7
90,3
91,1
92,1
93,0
94,0
95,3
96,6
97,2
98,4
99,0
100,7
101,7
102,6
103,3
104,5
105,7
106,6
107,6
108,3
109,7
110,7
111,5
112,0
113,5
114,0
115,0
116,0
117,3
118,1
119,3
120,1
121,0
122,1
123,0
124,7
125,7
126,3
127,0
128,7
129,0
130,3
131,0
132,5
133,3
134,1
135,3
136,5
137,0
138,7
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,4
149,1
150,3
151,3
152,7
153,1
154,2
155,7
156,0
157,0
158,7
159,7
160,3
161,4
162,3
163,1
164,0
165,3
166,7
167,7
168,6
169,3
170,7
171,7
172,1
173,7
174,0
175,0
176,1
177,3
178,7
179,5
180,7
181,0
182,0
183,3
184,0
185,7
186,0
187,0
188,3
189,0
190,0
191,7
192,1
193,1
194,1
195,7
196,6
197,0
198,1
199,7
200,2
201,5
202,5
203,5
204,7
205,7
206,4
207,4
208,0
209,1
210,7
211,4
212,1
213,3
214,5
215,1
216,0
217,3
218,4
219,4
220,7
221,7
222,6
223,4
224,1
225,0
226,0
227,0
228,0
229,0
230,7
231,4
232,1
233,3
234,2
235,2
236,0
237,1
238,2
239,0
240,6
241,6
242,7
243,5
244,3
245,7
246,4
247,7
248,7
249,7
250,0
251,0
252,3
253,0
254,1
255,1
256,6
257,3
258,0
259,7
260,0
261,0
262,0
263,0
264,0
265,1
266,5
267,0
268,0
269,1
270,7
271,1
272,4
273,0
274,0
275,5
276,3
277,7
278,0
279,0
280,1
281,5
282,3
283,0
284,0
285,0
286,3
287,7
288,3
289,0
290,2
291,3
292,2
293,1
294,5
295,5
296,0
297,7
298,7
299,0
300,3
301,3
302,7
303,3
304,0
305,3
306,0
307,7
308,0
309,7
310,0
311,2
312,0
313,7
314,6
315,1
316,7
317,1
318,6
319,7
320,1
321,1
322,3
323,7
324,3
325,3
326,7
327,6
328,2
329,7
330,2
331,3
332,7
333,3
334,0
335,3
336,1
337,1
338,0
339,0
340,0
341,1
342,6
343,3
344,0
345,1
346,0
347,4
348,7
349,3
350,0
351,7
352,1
353,7
354,3
355,0
356,0
357,0
358,1
359,7
360,7
361,7
362,1
363,1
364,2
365,7
366,3
367,3
368,0
369,7
370,3
371,0
372,3
373,0
374,7
375,3
376,3
377,0
378,6
379,0
380,0
381,7
382,0
383,7
384,0
385,7
386,1
387,2
388,7
389,3
390,3
391,0
392,3
393,7
394,7
395,1
396,7
397,2
398,7
399,1
400,3
401,7
402,1
403,6
404,3
405,0
406,1
407,1
408,7
409,3
410,3
411,7
412,1
413,0
414,3
415,3
416,6
417,0
418,3
419,0
420,2
421,0
422,4
423,5
424,3
425,4
426,7
427,1
428,2
429,0
430,5
431,1
432,7
433,0
434,3
435,2
436,1
437,1
438,0
439,0
440,1
441,1
442,5
443,3
444,3
445,3
446,5
447,1
448,0
449,7
450,1
451,1
452,7
453,7
454,2
455,6
456,7
457,7
458,3
459,3
460,7
461,1
462,7
463,7
464,3
465,5
466,3
467,3
468,1
469,3
470,5
471,5
472,7
473,5
474,1
475,3
476,0
477,0
478,3
479,1
480,0
481,5
482,1
483,0
484,0
485,7
486,3
487,5
488,0
489,7
490,2
491,5
492,6
493,1
494,0
495,1
496,7
497,0
498,7
499,2
500,5
501,0
502,0
503,2
504,0
505,0
506,0
507,5
508,1
509,1
510,7
511,1
512,3
513,7
514,2
515,4
516,0
517,3
518,1
519,1
520,2
521,2
522,2
523,0
524,0
525,7
526,3
527,7
528,7
529,2
530,0
531,1
532,1
533,5
534,3
535,3
536,0
537,7
538,4
539,0
540,7
541,3
542,1
543,5
544,0
545,1
546,0
547,1
548,4
549,5
550,7
551,0
552,0
553,7
554,7
555,3
556,3
557,1
558,0
559,4
560,3
561,0
562,5
563,1
564,2
565,3
566,3
567,6
568,3
569,1
570,2
571,3
572,0
573,0
574,0
575,7
576,4
577,3
578,1
579,3
580,5
581,3
582,7
583,0
584,2
585,3
586,0
587,0
588,7
589,6
590,1
591,1
592,1
593,7
594,7
595,7
596,7
597,2
598,0
599,0
600,5
601,3
602,3
603,3
604,1
605,0
606,3
607,0
608,0
609,1
610,0
611,1
612,6
613,0
614,0
615,7
616,0
617,3
618,3
619,5
620,7
621,6
622,0
623,2
624,0
625,7
626,5
627,3
628,0
629,0
630,7
631,2
632,2
633,2
634,0
635,7
636,1
637,1
638,0
639,5
640,3
641,7
642,1
643,3
644,7
645,5
646,0
647,4
648,6
649,7
650,7
651,1
652,0
653,0
654,7
655,4
656,2
657,2
658,2
659,7
660,0
661,5
662,0
663,1
664,1
665,1
666,7
667,7
668,7
669,7
670,0
671,0
672,4
673,6
674,4
675,0
676,0
677,3
678,1
679,3
680,3
681,2
682,2
683,7
684,7
685,0
686,3
687,6
688,7
689,4
690,7
691,7
692,7
693,0
694,0
695,3
696,0
697,3
698,0
699,0
700,1
701,4
702,0
703,0
704,1
705,2
706,5
707,7
708,6
709,3
710,5
711,3
712,3
713,0
714,3
715,1
716,0
717,7
718,7
719,7
720,1
721,0
722,0
723,0
724,3
725,0
726,2
727,6
728,3
729,0
730,3
731,5
732,1
733,1
734,1
735,3
736,3
737,1
738,3
739,1
740,4
741,2
742,7
743,3
744,0
745,4
746,3
747,3
748,6
749,3
750,3
751,1
752,1
753,1
754,7
755,5
756,5
757,3
758,3
759,2
760,3
761,7
762,3
763,1
764,0
765,7
766,3
767,3
768,3
769,7
770,3
771,0
772,1
773,0
774,5
775,0
776,3
777,0
778,0
779,1
780,6
781,6
782,3
783,1
784,7
785,0
786,3
787,3
788,0
789,1
790,1
791,0
792,2
793,3
794,7
795,0
796,0
797,0
798,3
799,3
800,3
801,3
802,7
803,5
804,3
805,3
806,7
807,1
808,7
809,4
810,0
811,5
812,1
813,1
814,3
815,1
816,1
817,7
818,3
819,7
820,7
821,0
822,1
823,0
824,3
825,0
826,3
827,0
828,1
829,0
830,3
831,2
832,5
833,6
834,1
835,0
836,0
837,0
838,7
839,3
840,3
841,3
842,0
843,7
844,1
845,5
846,5
847,5
848,2
849,2
850,3
851,1
852,3
853,2
854,3
855,0
856,0
857,0
858,4
859,5
860,5
861,0
862,0
863,2
864,6
865,0
866,7
867,1
868,3
869,7
870,1
871,0
872,3
873,3
874,3
875,3
876,3
877,3
878,3
879,3
880,3
881,3
882,1
883,4
884,0
885,7
886,7
887,7
888,3
889,0
890,0
891,2
892,1
893,3
894,0
895,0
896,0
897,5
898,0
899,7
900,0
901,0
902,0
903,5
904,4
905,0
906,3
907,0
908,2
909,7
910,1
911,0
912,3
913,3
914,0
915,1
916,1
917,0
918,1
919,6
920,3
921,3
922,1
923,7
924,7
925,3
926,3
927,3
928,3
929,7
930,7
931,1
932,0
933,0
934,1
935,1
936,2
937,1
938,7
939,3
940,4
941,7
942,3
943,0
944,6
945,1
946,3
947,1
948,1
949,0
950,0
951,0
952,7
953,0
954,6
955,7
956,0
957,1
958,1
959,1
960,0
